;Понедельник;Вторник;Среда;Четверг;Пятница;Суббота
08.00-09.30;            ;            ;;            ;Основы экономики;
;;;ПМ.03 МДК 03.01;;   а.135;Иностранный язык
;            ;            ;   а.122;            ;ПМ.06 МДК 06.01; а.207 а.130б
;;;;;   а.230;
09.40-11.10;            ;;;;;
;;ПМ.03 МДК 03.02;ПМ.03 МДК 03.01;ПМ.06 МДК 06.01;ПМ.06 МДК 06.01;ПМ.03 МДК 03.01
;            ;   а.122;   а.122;   а.230;   а.230;   а.122
;;;;;;
11.30-13.00;;;;;Правовое обесп. ;
;ПМ.03 МДК 03.03;Основы экономики;ПМ.03 МДК 03.01;Физкультура;   а.2-2к;ПМ.03 МДК 03.02
;   а.122;   а.135;   а.122;   а.с/з;Правовое обесп. ;   а.122
;;;;;   а.3-2к;
13.30-15.00;;;            ;;            ;ПМ.03 МДК 03.02
;ПМ.06 МДК 06.01;ПМ.06 МДК 06.01;;Основы экономики;;   а.122
;   а.230;   а.230;            ;   а.135;            ;            
;;;;;;
15.10-16.40;;            ;            ;            ;            ;            
;Менеджмент;;;;;
;   а.210;            ;            ;Менеджмент;            ;            
;;;;   а.210;;
